Author,Feature,Model,Accuracy,Precision,Recall,F1
DUAribogan,TFIDF_Char_2gram,NaiveBayes,0.6708333333333333,0.8,1.0,0.8888888888888888
DUAribogan,TFIDF_Char_2gram,RandomForest,0.8666666666666667,0.7272727272727273,1.0,0.8421052631578947
DUAribogan,TFIDF_Char_2gram,SVM,0.9,0.7272727272727273,1.0,0.8421052631578947
DUAribogan,TFIDF_Char_2gram,XGBoost,0.8708333333333333,0.8888888888888888,1.0,0.9411764705882353
DUAribogan,TFIDF_Char_3gram,DecisionTree,0.5,0.2222222222222222,0.25,0.23529411764705882
DUAribogan,TFIDF_Char_3gram,MLP,0.9083333333333333,0.8888888888888888,1.0,0.9411764705882353
DUAribogan,TFIDF_Char_3gram,NaiveBayes,0.6291666666666667,0.47058823529411764,1.0,0.64
DUAribogan,TFIDF_Char_3gram,RandomForest,0.8958333333333334,0.7272727272727273,1.0,0.8421052631578947
DUAribogan,TFIDF_Char_3gram,SVM,0.8958333333333334,0.7272727272727273,1.0,0.8421052631578947
DUAribogan,TFIDF_Char_3gram,XGBoost,0.825,0.7777777777777778,0.875,0.8235294117647058
DUAribogan,TFIDF_Word_2gram,DecisionTree,0.2125,0.2857142857142857,0.25,0.26666666666666666
DUAribogan,TFIDF_Word_2gram,MLP,0.5708333333333333,0.7,0.875,0.7777777777777778
DUAribogan,TFIDF_Word_2gram,NaiveBayes,0.5708333333333333,0.4375,0.875,0.5833333333333334
DUAribogan,TFIDF_Word_2gram,RandomForest,0.45,0.5555555555555556,0.625,0.5882352941176471
DUAribogan,TFIDF_Word_2gram,SVM,0.5333333333333333,0.6666666666666666,0.75,0.7058823529411765
DUAribogan,TFIDF_Word_2gram,XGBoost,0.425,0.6666666666666666,0.5,0.5714285714285714
